Page,Clicks,Impressions,CTR,Position
http://www.glocify.com/,346,4575,7.56%,11.97
http://www.glocify.com/dev/revivme/slimboost/www.glocify.com/dev/revivme/b-12/,0,228,0%,68.67
http://www.glocify.com/dev/revivme/product-category/skin-whitening/glutathione-injection-1600mg/?orderby=date,0,183,0%,67.94
http://www.glocify.com/dev/revivme/product-category/skin-whitening/glutathione-tablet/?orderby=price-desc,0,49,0%,49.67
http://www.glocify.com/dev/revivme/product-category/skin-whitening/glutathione-injectable-600mg/?orderby=price,0,24,0%,61.42
http://www.glocify.com/translations/category/uncategorized/,0,12,0%,92.67
http://www.glocify.com/dev/revivme/product-category/body-slimming/lipolysis-injection-250mg5ml/?orderby=price,0,10,0%,30.5
http://www.glocify.com/translations/sample-page/,0,10,0%,88.3
http://www.glocify.com/dev/revivme/product-category/body-slimming/l-carnitine-injectable-2g/?orderby=price,0,6,0%,88.83
http://www.glocify.com/index.php?/services/integration_architecture_design,0,6,0%,98.83
http://www.glocify.com/dev/revivme/product-category/skin-whitening/glutathione-capsule/?orderby=menu_order,0,5,0%,33.2
http://www.glocify.com/services/project_analysis_and_planning,0,5,0%,65
http://www.glocify.com/?/services/hello,0,5,0%,85.8
http://www.glocify.com/dev/revivme/product-category/skin-whitening/glutathione-capsule/?orderby=date,0,4,0%,27.75
http://www.glocify.com/services/custom_middleware_development,0,4,0%,65
http://www.glocify.com/services/security_consulting,0,4,0%,73
http://www.glocify.com/index.php?/services/custom_middleware_development,0,3,0%,15
http://www.glocify.com/services/process_and_data_modeling,0,3,0%,60.33
http://www.glocify.com/services/integration_architecture_design,0,2,0%,60
http://www.glocify.com/index.php/services/iphone,0,2,0%,77
http://www.glocify.com/dev/revivme/product-category/body-slimming/l-carnitine-injectable-2g/?orderby=date,0,2,0%,96.5
http://www.glocify.com/?/services/project_analysis_and_planning,0,1,0%,85
http://www.glocify.com/?/services/custom_API_integration,0,1,0%,86